artist(s)_name,artist_count,released_year,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,key,mode,danceability_%,speechiness_%
"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",multiple,2021-2023,"(1036.0, 1535.0]","(22.0, 37.0]","(121100146.0, 166721963.0]","(16.0, 24.0]","(21.0, 38.0]","(29.0, 44.0]","(3.0, 10.0]",-1,Major,high,low
"Yahritza Y Su Esencia, Grupo Frontera",multiple,2021-2023,"(406.0, 734.0]","(22.0, 37.0]","(166721963.0, 221546973.0]","(16.0, 24.0]","(98.0, 119.0]","(17.0, 29.0]","(3.0, 10.0]",F#,Major,medium,low
Taylor Swift,single,2010-2020,"(7302.0, 14101.0]","(37.0, 147.0]","(1302145668.0, 3703895074.0]","(111.0, 180.0]","(119.0, 275.0]","(259.0, 749.0]","(1.0, 3.0]",F,Major,medium,medium
Taylor Swift,single,2010-2020,"(7302.0, 14101.0]","(37.0, 147.0]","(556072408.0, 811477033.0]","(73.0, 111.0]","(98.0, 119.0]","(120.0, 259.0]","(3.0, 10.0]",D,Major,medium,low
Fuerza Regida,single,2021-2023,"(406.0, 734.0]","(22.0, 37.0]","(166721963.0, 221546973.0]","(10.0, 16.0]","(119.0, 275.0]","(11.0, 17.0]","(3.0, 10.0]",F,Minor,high,medium
"Junior H, Peso Pluma",multiple,2021-2023,"(406.0, 734.0]","(22.0, 37.0]","(290530915.0, 383721650.0]","(5.0, 10.0]","(98.0, 119.0]","(5.0, 11.0]","(1.0, 3.0]",A,Minor,low,medium
"Post Malone, Swae Lee",multiple,2010-2020,"(14101.0, 52898.0]","(37.0, 147.0]","(1302145668.0, 3703895074.0]","(180.0, 672.0]","(98.0, 119.0]","(749.0, 12367.0]","(3.0, 10.0]",D,Major,medium,medium
"Bebe Rexha, David Guetta",multiple,2021-2023,"(7302.0, 14101.0]","(37.0, 147.0]","(811477033.0, 1302145668.0]","(180.0, 672.0]","(119.0, 275.0]","(259.0, 749.0]","(10.0, 58.0]",G,Minor,low,low
"Tyler, The Creator, Kali Uchis",multiple,2010-2020,"(7302.0, 14101.0]","(37.0, 147.0]","(811477033.0, 1302145668.0]","(73.0, 111.0]","(38.0, 58.0]","(120.0, 259.0]","(-1.0, 1.0]",F#,Major,low,medium
"Nicki Minaj, Aqua, Ice Spice",multiple,2021-2023,"(1036.0, 1535.0]","(37.0, 147.0]","(2761.0, 71438326.0]","(73.0, 111.0]","(119.0, 275.0]","(44.0, 67.0]","(10.0, 58.0]",-1,Major,medium,high
Miley Cyrus,single,2010-2020,"(3003.0, 4554.0]","(13.0, 22.0]","(556072408.0, 811477033.0]","(49.0, 73.0]","(38.0, 58.0]","(120.0, 259.0]","(-1.0, 1.0]",F,Major,medium,low
OneRepublic,single,2021-2023,"(7302.0, 14101.0]","(37.0, 147.0]","(811477033.0, 1302145668.0]","(180.0, 672.0]","(119.0, 275.0]","(259.0, 749.0]","(10.0, 58.0]",-1,Major,medium,medium
The Weeknd,single,2010-2020,"(2216.0, 3003.0]","(37.0, 147.0]","(1302145668.0, 3703895074.0]","(49.0, 73.0]","(11.0, 21.0]","(17.0, 29.0]","(-1.0, 1.0]",C#,Minor,medium,medium
"The Weeknd, Daft Punk",multiple,2010-2020,"(14101.0, 52898.0]","(37.0, 147.0]","(1302145668.0, 3703895074.0]","(180.0, 672.0]","(119.0, 275.0]","(749.0, 12367.0]","(-1.0, 1.0]",G,Major,medium,high
"Ariana Grande, The Weeknd",multiple,2021-2023,"(3003.0, 4554.0]","(37.0, 147.0]","(383721650.0, 556072408.0]","(73.0, 111.0]","(78.0, 98.0]","(67.0, 120.0]","(-1.0, 1.0]",C#,Minor,low,medium
