name,so2_1h,no2_1h,co_8h,pm10_1h,o3_1h,pm10_24h,pm2_5_1h,actualized
Brno-Zvonařka,,30.0,,43.7,,44.5,29.1,2022-08-25 07:29:35.000000
Brno-Lány,6.1,17.2,306.0,40.0,35.9,31.5,26.9,2022-08-25 07:29:35.000000
Brno-Arboretum,,37.9,,35.8,16.2,28.9,19.3,2022-08-25 07:29:35.000000
Brno - Dětská nemocnice,,37.9,,44.0,13.8,26.3,31.0,2022-08-25 07:29:35.000000
Brno-Líšeň,,,,41.0,,32.2,15.0,2022-08-25 07:29:35.000000
Brno-Masná,,,,40.0,,32.3,20.0,2022-08-25 07:29:35.000000
Brno-Tuřany,4.5,23.1,,50.0,40.1,30.5,18.0,2022-08-25 07:29:35.000000
Brno-Svatoplukova,,62.6,364.0,51.8,,38.8,34.6,2022-08-25 07:29:35.000000
Brno-Výstaviště,,40.4,,48.3,,36.1,21.0,2022-08-25 07:29:35.000000
Brno-Úvoz (hot spot),,31.4,305.0,35.0,,29.0,19.0,2022-08-25 07:29:35.000000
Brno-Arboretum,,18.2,,40.0,48.5,30.1,19.9,2022-08-25 08:29:35.000000
Brno-Zvonařka,,31.0,,78.0,,46.8,28.6,2022-08-25 08:29:35.000000
Brno - Dětská nemocnice,,31.4,,51.0,34.1,28.1,22.0,2022-08-25 08:29:35.000000
Brno-Masná,,,,43.0,,33.5,20.0,2022-08-25 08:29:35.000000
Brno-Lány,6.4,13.6,335.0,42.2,47.1,32.7,28.2,2022-08-25 08:29:35.000000
Brno-Svatoplukova,,49.4,393.0,46.2,,40.0,30.8,2022-08-25 08:29:35.000000
Brno-Úvoz (hot spot),,37.3,320.0,38.0,,29.8,20.0,2022-08-25 08:29:35.000000
Brno-Líšeň,,,,49.0,,33.7,17.0,2022-08-25 08:29:35.000000
Brno-Tuřany,5.1,5.9,,51.0,68.2,32.0,27.0,2022-08-25 08:29:35.000000
Brno-Výstaviště,,28.9,,49.6,,37.0,22.3,2022-08-25 08:29:35.000000
Brno-Líšeň,,,,35.0,,35.0,15.0,2022-08-25 10:29:35.000000
Brno-Výstaviště,,15.9,,48.4,,38.9,21.8,2022-08-25 10:29:35.000000
Brno-Arboretum,,3.3,,40.8,88.2,32.4,18.7,2022-08-25 10:29:35.000000
Brno-Svatoplukova,,34.2,451.0,52.9,,42.3,24.2,2022-08-25 10:29:35.000000
Brno - Dětská nemocnice,,9.8,,35.0,80.2,30.1,23.0,2022-08-25 10:29:35.000000
Brno-Úvoz (hot spot),,28.9,339.0,44.0,,32.0,20.0,2022-08-25 10:29:35.000000
Brno-Zvonařka,,41.1,,68.0,,50.1,26.0,2022-08-25 10:29:35.000000
Brno-Lány,6.9,10.9,379.0,52.8,76.2,35.7,25.6,2022-08-25 10:29:35.000000
Brno-Masná,,,,44.0,,36.0,19.0,2022-08-25 10:29:35.000000
Brno-Tuřany,4.8,6.1,,26.0,80.2,33.4,22.0,2022-08-25 10:29:35.000000
Brno-Zvonařka,,34.4,,56.8,,50.5,25.7,2022-08-25 11:29:35.000000
Brno - Dětská nemocnice,,10.3,,43.0,81.6,31.4,19.0,2022-08-25 11:29:35.000000
Brno-Lány,6.7,10.1,379.0,47.9,81.6,37.1,24.3,2022-08-25 11:29:35.000000
Brno-Masná,,,,41.0,,37.2,19.0,2022-08-25 11:29:35.000000
Brno-Úvoz (hot spot),,,351.0,46.0,,33.3,21.0,2022-08-25 11:29:35.000000
Brno-Arboretum,,5.4,,45.6,86.2,33.8,19.1,2022-08-25 11:29:35.000000
Brno-Tuřany,4.8,4.8,,29.0,82.2,34.0,22.0,2022-08-25 11:29:35.000000
Brno-Svatoplukova,,23.1,481.0,45.5,,43.4,23.7,2022-08-25 11:29:35.000000
Brno-Výstaviště,,9.4,,47.8,,40.0,22.4,2022-08-25 11:29:35.000000
Brno-Líšeň,,,,31.0,,35.9,16.0,2022-08-25 11:29:35.000000
Brno-Arboretum,,5.2,,39.9,94.2,34.9,18.7,2022-08-25 12:29:35.000000
Brno-Masná,,,,43.0,,38.4,19.0,2022-08-25 12:29:35.000000
Brno-Líšeň,,,,37.0,,37.0,17.0,2022-08-25 12:29:35.000000
Brno-Zvonařka,,37.3,,69.0,,51.8,24.7,2022-08-25 12:29:35.000000
Brno-Úvoz (hot spot),,47.8,365.0,43.0,,34.5,20.0,2022-08-25 12:29:35.000000
Brno-Lány,6.7,8.0,379.0,46.1,91.8,38.4,22.7,2022-08-25 12:29:35.000000
Brno - Dětská nemocnice,,10.3,,31.0,92.2,32.0,13.0,2022-08-25 12:29:35.000000
Brno-Svatoplukova,,22.6,510.0,47.4,,44.3,23.2,2022-08-25 12:29:35.000000
Brno-Tuřany,4.8,4.2,,34.0,88.2,35.0,12.0,2022-08-25 12:29:35.000000
Brno-Výstaviště,,6.1,,45.2,,41.1,20.8,2022-08-25 12:29:35.000000
Brno-Masná,,,,40.0,,39.4,17.0,2022-08-25 13:29:35.000000
Brno-Svatoplukova,,22.2,524.0,44.6,,44.9,20.9,2022-08-25 13:29:35.000000
Brno-Výstaviště,,7.1,,41.5,,41.8,17.8,2022-08-25 13:29:35.000000
Brno - Dětská nemocnice,,11.1,,34.0,100.9,33.0,14.0,2022-08-25 13:29:35.000000
Brno-Zvonařka,,42.5,,64.0,,51.7,22.1,2022-08-25 13:29:35.000000
Brno-Líšeň,,,,46.0,,38.3,11.0,2022-08-25 13:29:35.000000
Brno-Úvoz (hot spot),,35.2,366.0,41.0,,35.5,18.0,2022-08-25 13:29:35.000000
Brno-Tuřany,5.1,3.4,,36.0,98.8,36.0,11.0,2022-08-25 13:29:35.000000
Brno-Arboretum,,6.9,,39.7,101.3,36.0,17.9,2022-08-25 13:29:35.000000
Brno-Lány,6.4,6.5,379.0,40.1,102.1,39.5,19.6,2022-08-25 13:29:35.000000
Brno - Dětská nemocnice,,8.8,,34.0,109.7,34.2,21.0,2022-08-25 14:29:35.000000
Brno-Líšeň,,,,54.0,,40.1,13.0,2022-08-25 14:29:35.000000
Brno-Svatoplukova,,31.9,510.0,33.2,,45.4,15.2,2022-08-25 14:29:35.000000
Brno-Výstaviště,,8.4,,34.6,,42.4,15.1,2022-08-25 14:29:35.000000
Brno-Lány,6.9,6.5,350.0,34.2,108.9,40.4,16.7,2022-08-25 14:29:35.000000
Brno-Arboretum,,3.8,,33.6,109.9,36.9,15.3,2022-08-25 14:29:35.000000
Brno-Zvonařka,,44.2,,41.4,,51.8,16.3,2022-08-25 14:29:35.000000
Brno-Úvoz (hot spot),,49.4,369.0,34.0,,36.3,15.0,2022-08-25 14:29:35.000000
Brno-Masná,,,,28.0,,40.0,13.0,2022-08-25 14:29:35.000000
Brno-Tuřany,4.8,2.3,,33.0,106.7,37.0,18.0,2022-08-25 14:29:35.000000
Brno-Líšeň,,,,34.0,,41.0,13.0,2022-08-25 15:29:35.000000
Brno-Svatoplukova,,24.1,481.0,25.8,,45.3,11.8,2022-08-25 15:29:35.000000
Brno-Lány,6.7,5.9,320.0,30.7,113.1,40.9,15.3,2022-08-25 15:29:35.000000
Brno-Masná,,,,27.0,,40.5,11.0,2022-08-25 15:29:35.000000
Brno-Arboretum,,2.9,,22.9,115.1,37.2,10.6,2022-08-25 15:29:35.000000
Brno-Výstaviště,,7.5,,27.8,,42.8,12.4,2022-08-25 15:29:35.000000
Brno - Dětská nemocnice,,13.4,,36.0,108.7,34.8,14.0,2022-08-25 15:29:35.000000
Brno-Zvonařka,,43.8,,47.4,,52.3,16.8,2022-08-25 15:29:35.000000
Brno-Úvoz (hot spot),,38.4,361.0,25.0,,36.6,11.0,2022-08-25 15:29:35.000000
Brno-Tuřany,4.8,1.0,,35.0,108.9,37.7,19.0,2022-08-25 15:29:35.000000
Brno - Dětská nemocnice,,18.9,,37.0,103.1,35.8,7.0,2022-08-25 16:29:35.000000
Brno-Výstaviště,,7.7,,30.6,,43.2,13.2,2022-08-25 16:29:35.000000
Brno-Lány,6.4,5.5,306.0,32.4,111.9,41.3,16.3,2022-08-25 16:29:35.000000
Brno-Svatoplukova,,37.1,481.0,31.1,,45.2,14.3,2022-08-25 16:29:35.000000
Brno-Zvonařka,,49.9,,48.8,,52.9,17.3,2022-08-25 16:29:35.000000
Brno-Masná,,,,31.0,,40.8,13.0,2022-08-25 16:29:35.000000
Brno-Arboretum,,3.8,,25.9,117.3,37.4,12.4,2022-08-25 16:29:35.000000
Brno-Úvoz (hot spot),,53.0,355.0,29.0,,37.0,13.0,2022-08-25 16:29:35.000000
Brno-Tuřany,,,,30.0,107.9,38.0,18.0,2022-08-25 16:29:35.000000
Brno-Líšeň,,,,21.0,,41.4,12.0,2022-08-25 16:29:35.000000
Brno - Dětská nemocnice,,,,,,38.1,0.0,2022-08-25 17:29:35.000000
Brno-Tuřany,,,,,,39.1,0.0,2022-08-25 17:29:35.000000
Brno-Lány,,,300.0,,,41.9,0.0,2022-08-25 17:29:35.000000
Brno-Výstaviště,,,,,,44.1,0.0,2022-08-25 17:29:35.000000
Brno-Líšeň,,,,,,42.3,0.0,2022-08-25 17:29:35.000000
Brno-Arboretum,,,,,,38.1,0.0,2022-08-25 17:29:35.000000
Brno-Zvonařka,,,,,,53.1,0.0,2022-08-25 17:29:35.000000
Brno-Masná,,,,,,41.6,0.0,2022-08-25 17:29:35.000000
Brno-Úvoz (hot spot),,,355.0,,,37.9,0.0,2022-08-25 17:29:35.000000
Brno-Svatoplukova,,,499.0,,,45.4,0.0,2022-08-25 17:29:35.000000
Brno-Arboretum,,16.5,,26.8,85.6,37.1,13.5,2022-08-25 19:29:35.000000
Brno-Svatoplukova,,67.5,524.0,51.4,,44.7,21.5,2022-08-25 19:29:35.000000
Brno-Líšeň,,,,22.0,,41.3,8.0,2022-08-25 19:29:35.000000
Brno-Úvoz (hot spot),,59.1,367.0,31.0,,37.3,15.0,2022-08-25 19:29:35.000000
Brno-Výstaviště,,48.2,,32.4,,43.0,14.2,2022-08-25 19:29:35.000000
Brno-Tuřany,5.3,9.2,,24.0,73.0,38.5,13.0,2022-08-25 19:29:35.000000
Brno - Dětská nemocnice,,48.6,,20.0,69.0,37.4,27.0,2022-08-25 19:29:35.000000
Brno-Lány,6.9,20.9,626.0,59.5,78.6,42.1,21.2,2022-08-25 19:29:35.000000
Brno-Masná,,,,33.0,,40.8,15.0,2022-08-25 19:29:35.000000
Brno-Zvonařka,,43.2,,41.8,,51.9,18.6,2022-08-25 19:29:35.000000
Brno-Výstaviště,,37.5,,30.4,,42.2,14.2,2022-08-25 20:29:35.000000
Brno-Zvonařka,,28.1,,44.3,,51.2,21.1,2022-08-25 20:29:35.000000
Brno - Dětská nemocnice,,37.3,,16.0,66.6,37.0,18.0,2022-08-25 20:29:35.000000
Brno-Lány,6.9,31.8,641.0,38.2,49.7,41.3,20.2,2022-08-25 20:29:35.000000
Brno-Masná,,,,37.0,,40.2,17.0,2022-08-25 20:29:35.000000
Brno-Líšeň,,,,30.0,,41.0,17.0,2022-08-25 20:29:35.000000
Brno-Úvoz (hot spot),,43.2,367.0,36.0,,36.9,16.0,2022-08-25 20:29:35.000000
Brno-Arboretum,,23.5,,30.2,73.2,36.5,14.9,2022-08-25 20:29:35.000000
Brno-Tuřany,5.3,24.1,,33.0,51.3,38.7,21.0,2022-08-25 20:29:35.000000
Brno-Svatoplukova,,46.3,524.0,44.3,,43.9,21.0,2022-08-25 20:29:35.000000
Brno-Masná,,,,,,38.5,0.0,2022-08-25 22:29:47.000000
Brno-Líšeň,,,,,,40.7,0.0,2022-08-25 22:29:47.000000
Brno-Lány,,,766.0,,,40.1,0.0,2022-08-25 22:29:47.000000
Brno-Svatoplukova,,,499.0,,,42.7,0.0,2022-08-25 22:29:47.000000
Brno-Tuřany,,,,,,37.1,0.0,2022-08-25 22:29:47.000000
Brno-Úvoz (hot spot),,,395.0,,,35.0,0.0,2022-08-25 22:29:47.000000
Brno - Dětská nemocnice,,,,,,35.9,0.0,2022-08-25 22:29:47.000000
Brno-Výstaviště,,,,,,40.2,0.0,2022-08-25 22:29:47.000000
Brno-Zvonařka,,,,,,49.6,0.0,2022-08-25 22:29:47.000000
Brno-Arboretum,,,,,,34.9,0.0,2022-08-25 22:29:47.000000
Brno-Lány,,,799.0,,,39.7,0.0,2022-08-25 23:29:47.000000
Brno-Zvonařka,,,,,,49.1,0.0,2022-08-25 23:29:47.000000
Brno-Arboretum,,,,,,34.7,0.0,2022-08-25 23:29:47.000000
Brno - Dětská nemocnice,,,,,,35.8,0.0,2022-08-25 23:29:47.000000
Brno-Úvoz (hot spot),,,392.0,,,34.5,0.0,2022-08-25 23:29:47.000000
Brno-Líšeň,,,,,,41.2,0.0,2022-08-25 23:29:47.000000
Brno-Svatoplukova,,,483.0,,,42.4,0.0,2022-08-25 23:29:47.000000
Brno-Tuřany,,,,,,37.2,0.0,2022-08-25 23:29:47.000000
Brno-Výstaviště,,,,,,39.8,0.0,2022-08-25 23:29:47.000000
Brno-Masná,,,,,,38.1,0.0,2022-08-25 23:29:47.000000
Brno-Výstaviště,,13.6,,41.9,,39.9,19.9,2022-08-26 00:29:47.000000
Brno-Svatoplukova,,18.7,466.0,44.3,,42.5,29.6,2022-08-26 00:29:47.000000
Brno-Arboretum,,17.8,,39.8,39.5,34.9,20.3,2022-08-26 00:29:47.000000
Brno-Masná,,,,43.0,,38.3,21.0,2022-08-26 00:29:47.000000
Brno-Zvonařka,,10.3,,49.4,,49.1,25.5,2022-08-26 00:29:47.000000
Brno - Dětská nemocnice,,23.5,,28.0,31.1,35.5,27.0,2022-08-26 00:29:47.000000
Brno-Úvoz (hot spot),,16.5,383.0,37.0,,34.6,18.0,2022-08-26 00:29:47.000000
Brno-Lány,6.1,47.6,757.0,38.2,8.0,39.6,25.6,2022-08-26 00:29:47.000000
Brno-Líšeň,,,,63.0,,42.1,37.0,2022-08-26 00:29:47.000000
Brno-Tuřany,6.4,20.1,,56.0,35.5,38.0,40.0,2022-08-26 00:29:47.000000
Brno-Arboretum,,17.6,,42.4,34.1,34.9,20.9,2022-08-26 01:29:47.000000
Brno - Dětská nemocnice,,13.8,,49.0,38.3,35.7,25.0,2022-08-26 01:29:47.000000
Brno-Výstaviště,,9.6,,40.0,,39.7,19.6,2022-08-26 01:29:47.000000
Brno-Svatoplukova,,7.8,437.0,42.7,,42.4,28.7,2022-08-26 01:29:47.000000
Brno-Líšeň,,,,78.0,,43.1,37.0,2022-08-26 01:29:47.000000
Brno-Zvonařka,,8.6,,39.4,,48.6,26.3,2022-08-26 01:29:47.000000
Brno-Lány,6.4,50.3,772.0,43.9,3.6,39.7,29.3,2022-08-26 01:29:47.000000
Brno-Úvoz (hot spot),,11.5,378.0,36.0,,34.6,18.0,2022-08-26 01:29:47.000000
Brno-Masná,,,,46.0,,38.0,21.0,2022-08-26 01:29:47.000000
Brno-Tuřany,5.9,18.6,,48.0,35.7,38.2,33.0,2022-08-26 01:29:47.000000
Brno - Dětská nemocnice,,,,,,35.3,0.0,2022-08-26 02:29:47.000000
Brno-Lány,,,466.0,,,40.1,0.0,2022-08-26 02:29:47.000000
Brno-Arboretum,,,,,,35.2,0.0,2022-08-26 02:29:47.000000
Brno-Svatoplukova,,,366.0,,,42.6,0.0,2022-08-26 02:29:47.000000
Brno-Masná,,,,,,38.2,0.0,2022-08-26 02:29:47.000000
Brno-Výstaviště,,,,,,40.1,0.0,2022-08-26 02:29:47.000000
Brno-Líšeň,,,,,,43.7,0.0,2022-08-26 02:29:47.000000
Brno-Úvoz (hot spot),,,362.0,,,35.3,0.0,2022-08-26 02:29:47.000000
Brno-Tuřany,,,,,,38.0,0.0,2022-08-26 02:29:47.000000
Brno-Zvonařka,,,,,,49.3,0.0,2022-08-26 02:29:47.000000
Brno-Svatoplukova,,,350.0,,,43.0,0.0,2022-08-26 04:29:47.000000
Brno-Líšeň,,,,,,44.9,0.0,2022-08-26 04:29:47.000000
Brno - Dětská nemocnice,,,,,,35.3,0.0,2022-08-26 04:29:47.000000
Brno-Masná,,,,,,39.2,0.0,2022-08-26 04:29:47.000000
Brno-Zvonařka,,,,,,49.9,0.0,2022-08-26 04:29:47.000000
Brno-Arboretum,,,,,,36.1,0.0,2022-08-26 04:29:47.000000
Brno-Lány,,,399.0,,,40.6,0.0,2022-08-26 04:29:47.000000
Brno-Úvoz (hot spot),,,337.0,,,36.5,0.0,2022-08-26 04:29:47.000000
Brno-Výstaviště,,,,,,40.4,0.0,2022-08-26 04:29:47.000000
Brno-Tuřany,,,,,,38.5,0.0,2022-08-26 04:29:47.000000
Brno-Výstaviště,,15.1,,49.8,,40.8,22.7,2022-08-26 05:29:48.000000
Brno-Úvoz (hot spot),,20.1,346.0,45.0,,36.8,22.0,2022-08-26 05:29:48.000000
Brno-Zvonařka,,14.3,,45.9,,49.7,30.6,2022-08-26 05:29:48.000000
Brno-Svatoplukova,,24.7,379.0,47.6,,43.2,31.9,2022-08-26 05:29:48.000000
Brno-Arboretum,,22.2,,44.0,15.2,36.5,21.8,2022-08-26 05:29:48.000000
Brno-Tuřany,4.8,31.2,,43.0,5.6,38.7,17.0,2022-08-26 05:29:48.000000
Brno - Dětská nemocnice,,17.4,,45.0,17.8,35.8,14.0,2022-08-26 05:29:48.000000
Brno-Lány,6.7,33.1,393.0,47.3,4.8,40.9,31.6,2022-08-26 05:29:48.000000
Brno-Masná,,,,48.0,,39.6,22.0,2022-08-26 05:29:48.000000
Brno-Líšeň,,,,62.0,,45.6,20.0,2022-08-26 05:29:48.000000
Brno-Úvoz (hot spot),,29.5,352.0,47.0,,37.4,23.0,2022-08-26 06:29:48.000000
Brno - Dětská nemocnice,,20.7,,41.0,12.0,36.0,20.0,2022-08-26 06:29:48.000000
Brno-Výstaviště,,27.0,,54.2,,41.2,23.9,2022-08-26 06:29:48.000000
Brno-Zvonařka,,20.5,,47.7,,50.2,31.9,2022-08-26 06:29:48.000000
Brno-Lány,6.7,43.2,364.0,48.1,1.0,41.2,32.2,2022-08-26 06:29:48.000000
Brno-Masná,,,,51.0,,40.1,23.0,2022-08-26 06:29:48.000000
Brno-Tuřany,4.8,28.1,,48.0,4.0,39.1,25.0,2022-08-26 06:29:48.000000
Brno-Líšeň,,,,67.0,,46.8,22.0,2022-08-26 06:29:48.000000
Brno-Arboretum,,27.9,,43.7,8.0,37.0,22.0,2022-08-26 06:29:48.000000
Brno-Svatoplukova,,40.6,393.0,52.5,,43.3,35.1,2022-08-26 06:29:48.000000
Brno-Tuřany,4.5,28.5,,53.0,8.0,39.2,27.0,2022-08-26 07:29:47.000000
Brno-Úvoz (hot spot),,29.1,362.0,46.0,,37.9,23.0,2022-08-26 07:29:47.000000
Brno-Líšeň,,,,75.0,,48.3,25.0,2022-08-26 07:29:47.000000
Brno-Výstaviště,,27.4,,61.3,,41.7,25.1,2022-08-26 07:29:47.000000
Brno - Dětská nemocnice,,25.3,,56.0,11.0,36.5,21.0,2022-08-26 07:29:47.000000
Brno-Arboretum,,28.1,,44.7,9.8,37.3,22.0,2022-08-26 07:29:47.000000
Brno-Zvonařka,,29.1,,62.0,,50.9,41.5,2022-08-26 07:29:47.000000
Brno-Lány,6.1,38.1,350.0,49.9,2.4,41.7,33.4,2022-08-26 07:29:47.000000
Brno-Svatoplukova,,42.3,437.0,53.5,,43.3,35.7,2022-08-26 07:29:47.000000
Brno-Masná,,,,51.0,,40.6,23.0,2022-08-26 07:29:47.000000
Brno-Arboretum,,26.4,,47.8,20.7,37.7,22.4,2022-08-26 08:29:48.000000
Brno-Líšeň,,,,70.0,,49.1,32.0,2022-08-26 08:29:48.000000
Brno-Masná,,,,53.0,,41.0,24.0,2022-08-26 08:29:48.000000
Brno-Zvonařka,,30.0,,88.6,,51.4,32.4,2022-08-26 08:29:48.000000
Brno-Úvoz (hot spot),,38.1,368.0,52.0,,38.5,24.0,2022-08-26 08:29:48.000000
Brno-Tuřany,4.8,30.2,,59.0,30.1,39.5,34.0,2022-08-26 08:29:48.000000
Brno - Dětská nemocnice,,30.6,,34.0,14.0,35.8,23.0,2022-08-26 08:29:48.000000
Brno-Svatoplukova,,37.9,451.0,49.7,,43.5,33.2,2022-08-26 08:29:48.000000
Brno-Výstaviště,,27.7,,63.6,,42.3,25.8,2022-08-26 08:29:48.000000
Brno-Lány,6.9,14.9,335.0,51.5,42.1,42.0,34.2,2022-08-26 08:29:48.000000
Brno-Výstaviště,,,,,,43.1,0.0,2022-08-26 09:29:48.000000
Brno-Arboretum,,,,,,38.1,0.0,2022-08-26 09:29:48.000000
Brno-Zvonařka,,,,,,52.2,0.0,2022-08-26 09:29:48.000000
Brno - Dětská nemocnice,,,,,,36.3,0.0,2022-08-26 09:29:48.000000
Brno-Líšeň,,,,,,50.3,0.0,2022-08-26 09:29:48.000000
Brno-Svatoplukova,,,533.0,,,43.1,0.0,2022-08-26 09:29:48.000000
Brno-Masná,,,,,,41.6,0.0,2022-08-26 09:29:48.000000
Brno-Lány,,,300.0,,,42.2,0.0,2022-08-26 09:29:48.000000
Brno-Tuřany,,,,,,41.2,0.0,2022-08-26 09:29:48.000000
Brno-Úvoz (hot spot),,,381.0,,,38.8,0.0,2022-08-26 09:29:48.000000
Brno-Masná,,,,71.0,,42.8,26.0,2022-08-26 10:29:47.000000
Brno-Líšeň,,,,46.0,,50.2,36.0,2022-08-26 10:29:47.000000
Brno-Úvoz (hot spot),,,381.0,63.0,,39.8,26.0,2022-08-26 10:29:47.000000
Brno-Arboretum,,21.0,,57.6,71.8,39.0,24.1,2022-08-26 10:29:47.000000
Brno-Lány,8.0,26.4,291.0,87.0,65.6,44.1,32.1,2022-08-26 10:29:47.000000
Brno-Zvonařka,,53.4,,113.7,,54.7,34.9,2022-08-26 10:29:47.000000
Brno - Dětská nemocnice,,32.9,,51.0,55.9,36.9,20.0,2022-08-26 10:29:47.000000
Brno-Svatoplukova,,,553.0,83.5,,44.8,34.0,2022-08-26 10:29:47.000000
Brno-Výstaviště,,31.4,,73.6,,44.3,28.3,2022-08-26 10:29:47.000000
Brno-Tuřany,5.3,9.6,,73.0,89.6,42.5,36.0,2022-08-26 10:29:47.000000
Brno-Svatoplukova,,58.9,582.0,69.5,,45.8,26.8,2022-08-26 11:29:48.000000
Brno-Zvonařka,,41.5,,101.2,,56.6,29.0,2022-08-26 11:29:48.000000
Brno-Úvoz (hot spot),,62.6,394.0,67.0,,40.7,26.0,2022-08-26 11:29:48.000000
Brno-Líšeň,,,,36.0,,50.4,28.0,2022-08-26 11:29:48.000000
Brno-Lány,7.5,15.7,277.0,70.9,90.8,45.0,27.1,2022-08-26 11:29:48.000000
Brno-Masná,,,,70.0,,44.0,25.0,2022-08-26 11:29:48.000000
Brno-Arboretum,,24.3,,61.3,,39.6,23.5,2022-08-26 11:29:48.000000
Brno - Dětská nemocnice,,23.9,,62.0,90.6,37.7,26.0,2022-08-26 11:29:48.000000
Brno-Tuřany,5.3,5.0,,67.0,104.5,44.1,28.0,2022-08-26 11:29:48.000000
Brno-Výstaviště,,22.0,,65.7,,45.1,25.3,2022-08-26 11:29:48.000000
Brno-Zvonařka,,40.2,,70.8,,56.6,22.5,2022-08-26 12:29:48.000000
Brno-Výstaviště,,9.6,,50.1,,45.3,20.0,2022-08-26 12:29:48.000000
Brno-Arboretum,,8.6,,47.3,102.1,39.9,19.0,2022-08-26 12:29:48.000000
Brno-Lány,7.5,8.4,262.0,53.9,108.5,45.3,21.5,2022-08-26 12:29:48.000000
Brno-Tuřany,5.3,2.7,,56.0,108.7,45.0,26.0,2022-08-26 12:29:48.000000
Brno-Úvoz (hot spot),,55.3,,54.0,,41.1,21.0,2022-08-26 12:29:48.000000
Brno-Svatoplukova,,43.0,597.0,53.1,,46.0,20.8,2022-08-26 12:29:48.000000
Brno-Masná,,,,52.0,,44.4,20.0,2022-08-26 12:29:48.000000
Brno - Dětská nemocnice,,8.2,,58.0,116.9,38.8,22.0,2022-08-26 12:29:48.000000
Brno-Líšeň,,,,59.0,,51.3,27.0,2022-08-26 12:29:48.000000
Brno-Masná,,,,48.0,,44.7,18.0,2022-08-26 13:29:47.000000
Brno-Zvonařka,,39.4,,88.5,,57.7,23.9,2022-08-26 13:29:47.000000
Brno - Dětská nemocnice,,6.7,,49.0,124.3,39.5,20.0,2022-08-26 13:29:47.000000
Brno-Arboretum,,5.5,,40.0,119.1,39.9,16.6,2022-08-26 13:29:47.000000
Brno-Tuřany,5.9,2.5,,49.0,120.1,45.5,22.0,2022-08-26 13:29:47.000000
Brno-Výstaviště,,9.6,,40.2,,45.2,16.9,2022-08-26 13:29:47.000000
Brno-Lány,4.3,6.1,262.0,42.2,117.1,45.4,16.6,2022-08-26 13:29:47.000000
Brno-Svatoplukova,,37.5,582.0,51.1,,46.3,18.8,2022-08-26 13:29:47.000000
Brno-Úvoz (hot spot),,47.4,,41.0,,41.1,17.0,2022-08-26 13:29:47.000000
Brno-Líšeň,,,,50.0,,51.5,28.0,2022-08-26 13:29:47.000000
Brno-Masná,,,,41.0,,45.3,16.0,2022-08-26 14:29:48.000000
Brno-Svatoplukova,,37.3,568.0,45.8,,46.8,16.7,2022-08-26 14:29:48.000000
Brno - Dětská nemocnice,,6.1,,44.0,127.1,39.9,28.0,2022-08-26 14:29:48.000000
Brno-Zvonařka,,49.4,,77.6,,59.2,21.0,2022-08-26 14:29:48.000000
Brno-Arboretum,,5.2,,40.4,124.1,40.2,16.8,2022-08-26 14:29:48.000000
Brno-Lány,4.3,5.7,248.0,41.7,120.9,45.8,16.1,2022-08-26 14:29:48.000000
Brno-Tuřany,5.6,2.9,,38.0,126.7,45.8,16.0,2022-08-26 14:29:48.000000
Brno-Výstaviště,,8.8,,39.0,,45.4,15.6,2022-08-26 14:29:48.000000
Brno-Líšeň,,,,42.0,,51.0,21.0,2022-08-26 14:29:48.000000
Brno-Úvoz (hot spot),,54.1,,39.0,,41.3,17.0,2022-08-26 14:29:48.000000
Brno-Tuřany,,,,,,47.1,0.0,2022-08-26 16:29:49.000000
Brno-Úvoz (hot spot),,,,,,42.7,0.0,2022-08-26 16:29:49.000000
Brno-Líšeň,,,,,,53.7,0.0,2022-08-26 16:29:49.000000
Brno-Svatoplukova,,,516.0,,,48.4,0.0,2022-08-26 16:29:49.000000
Brno-Arboretum,,,,,,41.7,0.0,2022-08-26 16:29:49.000000
Brno - Dětská nemocnice,,,,,,40.4,0.0,2022-08-26 16:29:49.000000
Brno-Lány,,,216.0,,,47.2,0.0,2022-08-26 16:29:49.000000
Brno-Masná,,,,,,46.7,0.0,2022-08-26 16:29:49.000000
Brno-Výstaviště,,,,,,46.9,0.0,2022-08-26 16:29:49.000000
Brno-Zvonařka,,,,,,60.9,0.0,2022-08-26 16:29:49.000000
Brno-Zvonařka,,32.7,,52.9,,60.6,16.7,2022-08-26 17:29:48.000000
Brno-Výstaviště,,15.1,,36.2,,46.5,14.6,2022-08-26 17:29:48.000000
Brno - Dětská nemocnice,,6.3,,39.0,129.5,40.4,14.0,2022-08-26 17:29:48.000000
Brno-Svatoplukova,,40.9,510.0,40.1,,48.1,14.2,2022-08-26 17:29:48.000000
Brno-Masná,,,,36.0,,46.3,14.0,2022-08-26 17:29:48.000000
Brno-Arboretum,,4.4,,35.2,126.3,41.5,14.2,2022-08-26 17:29:48.000000
Brno-Líšeň,,,,34.0,,52.8,14.0,2022-08-26 17:29:48.000000
Brno-Lány,4.3,7.5,218.0,40.8,122.5,46.9,16.3,2022-08-26 17:29:48.000000
Brno-Úvoz (hot spot),,43.4,,37.0,,42.5,15.0,2022-08-26 17:29:48.000000
Brno-Tuřany,5.3,2.7,,31.0,121.7,46.4,19.0,2022-08-26 17:29:48.000000
Brno-Arboretum,,7.3,,36.7,110.3,42.2,16.0,2022-08-26 19:29:49.000000
